method	actual_sparsity	metric	score
fluctuation	0.067418	PPL	8.9542
fluctuation	0.067418	inst_ASR_basic	0.0000
fluctuation	0.067418	inst_ASR_basic_nosys	0.0000
fluctuation	0.067418	inst_ASR_multiple_nosys	0.0000
fluctuation	0.067418	no_inst_ASR_basic	0.0100
fluctuation	0.067418	no_inst_ASR_basic_nosys	0.1300
fluctuation	0.067418	no_inst_ASR_multiple_nosys	0.2400
fluctuation	0.067418	ASR_gcg	0.3400
fluctuation	0.067418	openbookqa	0.3250
fluctuation	0.067418	boolq	0.7250
fluctuation	0.067418	winogrande	0.6650
fluctuation	0.067418	arc_challenge	0.4000
fluctuation	0.067418	rte	0.6650
fluctuation	0.067418	hellaswag	0.5450
fluctuation	0.067418	averaged	0.5542
