method	actual_sparsity	metric	score
fluctuation	0.133525	PPL	10.6724
fluctuation	0.133525	openbookqa	0.3600
fluctuation	0.133525	hellaswag	0.5550
fluctuation	0.133525	arc_challenge	0.4400
fluctuation	0.133525	rte	0.6400
fluctuation	0.133525	winogrande	0.6350
fluctuation	0.133525	boolq	0.7150
fluctuation	0.133525	averaged	0.5575

fluctuation	0.066583	PPL	8.1681
fluctuation	0.066583	arc_challenge	0.4150
fluctuation	0.066583	openbookqa	0.3400
fluctuation	0.066583	boolq	0.7500
fluctuation	0.066583	rte	0.6950
fluctuation	0.066583	hellaswag	0.5850
fluctuation	0.066583	winogrande	0.6650
fluctuation	0.066583	averaged	0.5750
