method	actual_sparsity	metric	score
wanda	0.500001	PPL	172619.2656
wanda	0.500001	PPL	172619.2656
wanda	0.500001	PPL	172619.2656
wanda	0.500001	inst_ASR_basic	0.0000
wanda	0.500001	inst_ASR_basic_nosys	0.8100
wanda	0.500001	inst_ASR_multiple_nosys	0.9840
wanda	0.500001	no_inst_ASR_basic	0.0000
wanda	0.500001	no_inst_ASR_basic_nosys	0.6500
wanda	0.500001	no_inst_ASR_multiple_nosys	0.9660
wanda	0.500001	ASR_gcg	0.7800
wanda	0.500001	PPL	172619.2656
wanda	0.500001	PPL	172619.2656
wanda	0.500001	winogrande	0.4750
wanda	0.500001	boolq	0.5050
wanda	0.500001	rte	0.4450
wanda	0.500001	openbookqa	0.1900
wanda	0.500001	hellaswag	0.2350
wanda	0.500001	arc_challenge	0.1900
wanda	0.500001	averaged	0.3400
wanda	0.500001	PPL	172619.2656
