method	actual_sparsity	metric	score
wandg	0.000000	PPL	6.4936
wandg	0.000000	inst_ASR_basic	0.0000
wandg	0.000000	inst_ASR_basic_nosys	0.0000
wandg	0.000000	inst_ASR_multiple_nosys	0.0000
wandg	0.000000	no_inst_ASR_basic	0.0300
wandg	0.000000	no_inst_ASR_basic_nosys	0.1800
wandg	0.000000	no_inst_ASR_multiple_nosys	0.2660
wandg	0.000000	ASR_gcg	0.0900
wandg	0.000000	hellaswag	0.5700
wandg	0.000000	rte	0.7150
wandg	0.000000	boolq	0.7950
wandg	0.000000	arc_challenge	0.4350
wandg	0.000000	winogrande	0.6550
wandg	0.000000	openbookqa	0.3250
wandg	0.000000	averaged	0.5825
