method	actual_sparsity	metric	score
wandg	0.199951	PPL	226317.8594
wandg	0.199951	boolq	0.5100
wandg	0.199951	hellaswag	0.2300
wandg	0.199951	arc_challenge	0.2150
wandg	0.199951	winogrande	0.4900
wandg	0.199951	rte	0.5200
wandg	0.199951	openbookqa	0.1850
wandg	0.199951	averaged	0.3583

wandg	0.099871	PPL	90028.9453
wandg	0.099871	boolq	0.4550
wandg	0.099871	winogrande	0.5400
wandg	0.099871	rte	0.4650
wandg	0.099871	openbookqa	0.1700
wandg	0.099871	arc_challenge	0.2000
wandg	0.099871	hellaswag	0.2100
wandg	0.099871	averaged	0.3400
